1, THE OLYMPIC CAFE, 555 GEARY ST, San Francisco, 94102, CA, 415 571 8182
2, Kate O'Brien's, 579 HOWARD St, San Francisco, 94105, CA, 446 355 1344
3, Oceanview Market and Deli, 7501 GEARY Blvd, San Francisco, 94121, CA, 480 693 5114
4, FAIRMOUNT ELEMENTARY SCHOOL, 65 CHENERY St, San Francisco, 94131, CA, 964 784 1876
5, Leo's Luxury Oyster Bar, 568 Sacramento St, San Francisco, 94111, CA, 501 518 7608
6, 95102 Portable Edsel FordFong Cart, "24 Willie Mays Pl Promenade Lvl Sect 117", San Francisco, 94121, CA, 516 312 6505
7, Minna SF Group LLC, 142 Minna St, San Francisco, 94105, CA, 329 557 6127
8, Japanese House, 480 6th St, San Francisco, 94103, CA, 368 717 4206
9, Open Kitchen, 3913 24th St., San Francisco, 94114, CA, 474 878 1785
10, Sqwers Restaurant, 3015 Geary Blvd, San Francisco, 94118, CA, 415 570 9979
11, Avedano's, 235 Cortland Ave., San Francisco, 94110, CA, 952 750 2175
12, Mestiza Taqueria, 595 Bryant St., San Francisco, 94107, CA, 816 923 2208
13, HEUNG YUEN RESTAURANT, 3279 22nd St, San Francisco, 94110, CA, 918 798 8257
14, Sightglass Coffee, 151 3rd St, San Francisco, 91441, CA, 604 702 8067
15, ONO HAWAIIAN BBQ, 1501 SLOAT BLVD STE A, San Francisco, 94132, CA, 415 959 3388
16, THE SALAD PLACE & ROTISSERIE, 5392 MISSION St, San Francisco, 94112, CA, 813 633 8895
17, CAFE ST JORGE, 3438 MISSION ST, San Francisco, 94110, CA, 415 052 2847
18, CAFE MUMS, 1800 SUTTER St, San Francisco, 94115, CA, 662 696 5962
19, Manila Oriental Market, 4175 MISSION St, San Francisco, 94112, CA, 665 847 7211
20, Chez Beesen, 200 Pine St, San Francisco, 94104, CA, 228 966 4501
21, Javalencia Cafe, 1594 Market St, San Francisco, 94102, CA, 322 462 1933
22, Cafe Med, 201 Pine St, San Francisco, 94104, CA, 326 481 3590
23, SUBWAY SANDWICHES & SALADS, 1500 FILLMORE St, San Francisco, 94115, CA, 705 748 1433
24, India Clay Oven Restaurant and Bar, 2436 Clement St, San Francisco, 94121, CA, 415 575 0505
25, Pizza Express, 813 Cortland Ave, San Francisco, 94110, CA, 415 530 3323
26, Manila Oriental Market, 4175 MISSION St, San Francisco, 94112, CA, 785 902 2662
27, Heyday, 180 Spear St, San Francisco, 94105, CA, 700 189 8817
28, Tak Kee Lee Restaurant, 2435 Noriega St, San Francisco, 94122, CA, 889 687 3502
29, EIGHTEA, 91 06th St, San Francisco, 94103, CA, 167 895 4243
30, Panchitas, 530 Valencia St, San Francisco, 94110, CA, 415 554 0459
31, MOSCOW & TBILSI BAKERY STORE, 5540 GEARY Blvd, San Francisco, 94121, CA, 469 246 7219
32, Hong's Kitchen, 3917 Noriega St, San Francisco, 94122, CA, 727 740 9166
